%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
44.58528	-123.42611	157.312	77.36	67.1	0.16	1.49
						
44.585	-124.06306	36.469	451.17	16.55	0.87	0.65
						
44.58222	-124.06389	25.492	450.86	16.47	0.9	0.66
						
44.57833	-123.24278	69.671	100.17	81.64	0.31	1.68
						
44.57667	-124.06417	31.314	450.16	16.44	0.99	0.69
						
44.57639	-124.06444	32.035	450.18	16.41	0.77	0.39
						
44.575	-123.42111	211.716	79.47	67.48	0.73	1.51
						
44.5725	-124.06556	25.538	449.55	16.31	0.84	0.39
						
44.57028	-124.06667	23.276	449.48	16.22	1.11	0.71
						
44.57	-124.06583	31.499	449.22	16.29	0.82	0.38
						
44.56806	-123.25667	68.817	98.54	80.52	0.36	0.49
						
44.56694	-123.27167	72.868	94.78	79.33	0.68	0.49
						
44.56694	-123.27139	72.352	94.75	79.35	0.78	0.47
						
44.56639	-123.27528	77.802	94.44	79.04	0.67	0.47
						
44.56611	-123.27056	70.096	94.95	79.41	0.79	0.47
						
44.56528	-123.26444	70.358	95.45	79.9	0.3	0.49
						
44.56528	-123.26083	71.568	95.78	80.18	0.69	0.47
						
44.56444	-123.26056	69.581	95.87	80.2	0.66	0.49
						
44.56333	-123.27833	73.231	93.82	78.79	0.56	0.49
						
44.56222	-123.27306	73.602	94.27	79.21	0.68	0.47
						
44.55722	-123.28028	69.847	92.96	78.62	0.39	1.62
						
44.55611	-124.07028	17.004	447.65	15.89	0.82	0.38
						
44.555	-123.29667	74.292	91.66	77.32	0.8	0.47
						
44.54889	-124.07139	16.86	446.78	15.78	0.94	0.81
						
44.54583	-123.32722	86.285	89.09	74.87	0.75	0.47
						
44.54556	-123.31	79.029	91.06	76.24	0.67	0.49
						
44.54417	-124.07194	7.479	446.24	15.72	0.87	0.38
						
44.54389	-123.33333	93.725	88.55	74.38	0.66	0.49
						
44.54361	-124.07194	14.317	445.92	15.72	0.94	0.84
						
44.54167	-123.34583	84.612	87.56	73.38	0.74	0.49
						
44.54056	-123.3525	82.639	87.04	72.85	0.78	0.46
						
44.54028	-123.36639	86.327	85.84	71.75	0.63	0.46
						
44.535	-123.39222	88.612	85.39	69.68	0.51	1.56
						
44.535	-124.07333	14.002	445.11	15.58	0.89	0.38
						
44.53167	-124.07333	8.306	444.57	15.57	1.24	0.88
						
44.52722	-124.07306	5.66	444.13	15.58	0.7	0.38
						
44.52111	-124.06972	6.275	443.24	15.83	0.65	0.92
						
44.51167	-124.07806	18.485	441.79	15.13	0.73	0.39
						
44.50083	-124.08056	20.455	440.65	14.9	0.72	1
						
44.49972	-124.08139	21.588	440.49	14.83	0.71	0.4
						
44.49944	-124.08056	21.3	440.47	14.89	0.89	1.01
						
44.495	-124.08167	8.852	439.98	14.79	0.71	0.39
						
44.495	-124.08139	10.884	439.89	14.81	0.83	1.02
						
44.4875	-124.08167	18.737	439.09	14.76	1.21	1.04
						
44.48722	-124.08083	19.926	439.11	14.83	1.01	0.4
						
44.48028	-124.07917	13.697	438.12	14.94	1.05	1.07
						
44.47917	-124.07806	7.69	438.26	15.02	0.7	0.39
						
44.4725	-124.08083	13.822	437.39	14.78	0.83	1.09
						
44.46861	-124.07778	19.765	436.84	15.01	0.51	0.4
						
44.46833	-124.07806	19.678	436.82	14.98	0.7	1.11
						
44.45139	-124.07194	28.483	434.87	15.41	0.58	0.39
						
44.4375	-124.07444	28.08	433.39	15.16	0.89	1.2
						
44.435	-124.07222	21.539	433.11	15.33	0.61	0.41
						
44.43167	-124.07056	21.524	432.63	15.45	0.54	0.41
						
44.42944	-124.0575	4.894	432.93	16.48	0.76	0.39
						
44.42889	-124.06639	5.263	432.2	15.77	0.44	0.41
						
44.42694	-124.06611	9.045	432.32	15.78	0.45	0.41
						
44.42583	-124.06667	4.784	432.05	15.73	0.6	0.4
						
44.42333	-124.07028	4.573	431.56	15.44	0.81	0.4
						
44.42222	-124.07278	4.585	431.29	15.23	0.89	0.4
						
44.41	-124.08306	13.238	429.66	14.37	0.97	1.29
						
44.39306	-124.08583	5.903	427.74	14.08	1.13	1.34
						
44.36417	-124.09222	10.726	424.71	13.46	0.93	1.41
						
44.36389	-124.09167	11.008	424.72	13.5	0.7	0.4
						
44.35	-124.095	8.945	423.25	13.18	0.69	0.42
						
44.34889	-124.09389	5.909	423.06	13.26	0.68	0.42
						
44.34139	-124.09556	6.228	422.03	13.1	1.07	1.47
						
44.33111	-124.0975	11.716	420.95	12.9	0.93	1.49
						
44.33	-124.10056	10.991	421.38	12.65	0.71	0.42
						
44.30806	-124.09889	10.342	418.06	12.69	0.79	1.55
						
44.3075	-124.09917	9.034	418.13	12.67	0.15	1.55
						
44.30389	-124.1075	6.496	417.23	11.99	0.81	0.41
						
44.29972	-124.10611	18.46	416.75	12.08	0.84	1.58
						
44.29528	-124.1075	20.449	416.01	11.95	1.03	1.6
						
44.29056	-124.10778	44.157	415.24	11.91	1.26	1.61
						
44.29028	-124.1125	69.149	414.75	11.53	0.59	0.41
						
44.27778	-124.11139	28.284	413.19	11.56	0.72	0.41
						
44.27778	-124.10917	28.385	413.15	11.74	0.76	0.41
						
44.27167	-124.1075	11.309	412.23	11.84	0.72	0.41
						
44.27056	-124.10778	7.956	412.3	11.82	0.73	0.41
						
44.26611	-124.11139	14.098	411.72	11.51	0.71	0.41
						
44.26583	-124.11167	12.278	411.67	11.49	0.7	0.41
						
44.245	-124.11083	11.833	409.34	11.46	0.57	0.42
						
44.245	-124.11111	13.509	409.37	11.44	0.73	0.42
						
44.22444	-124.10833	8.148	407.04	11.56	0.74	0.46
						
44.22417	-124.10833	8.165	406.99	11.56	0.68	0.46
						
44.20778	-124.11361	13.855	405.15	11.06	0.52	0.43
						
44.19583	-124.11194	38.719	403.85	11.14	0.8	0.43
						
44.18417	-124.11389	15.038	402.23	10.92	0.88	0.42
						
44.18361	-124.11444	14.393	402.29	10.88	0.79	0.42
						
44.17472	-124.11444	9.182	401.25	10.83	0.87	0.42
						
44.17444	-124.11389	9.133	401.32	10.87	0.67	0.42
						
44.16528	-124.11167	14.06	400.26	11.01	0.86	0.42
						
44.16472	-124.11111	14.324	400.27	11.05	0.9	0.42
						
44.16306	-124.11389	17.131	399.89	10.82	0.7	1.9
						
44.15806	-124.11472	17.663	399.46	10.73	0.87	0.42
						
44.13694	-124.12333	55.444	396.74	9.93	1.33	1.95
						
44.13444	-124.12083	30.34	396.12	10.12	0.95	0.42
						
44.13417	-124.12028	37.652	395.93	10.16	0.91	0.44
						
44.13361	-124.12056	37.046	395.94	10.13	1.03	1.96
						
44.12694	-124.12278	68.869	395.25	9.92	1.21	1.97
						
44.125	-124.12528	78.803	395.06	9.71	0.9	0.42
						
44.11028	-124.1225	101.71	392.79	9.86	0.76	2
						
44.11028	-124.1225	95.535	392.64	9.86	1.03	2
						
44.10694	-124.12056	78.812	392.33	10	0.8	0.43
						
44.095	-124.11333	14.992	390.8	10.51	0.81	0.44
						
44.0825	-124.10528	9.395	389.34	11.09	0.81	0.43
						
44.07917	-124.10389	26.954	388.92	11.18	1.17	2.05
						
44.05278	-124.09639	14.966	385.85	11.64	0.27	2.08
						
44.0525	-124.09611	14.961	385.82	11.66	0.49	2.08
						
44.03333	-124.09778	40.917	383.6	11.42	1.39	2.1
						
44.00583	-124.09944	26.234	380.51	11.14	1.37	2.13
						
43.98278	-124.04417	8.615	382.44	15.44	0.25	2.11
						
43.97556	-124.09944	9.452	377.25	10.97	0.26	2.15
						
43.97389	-124.09972	7.294	377.05	10.94	0.38	2.15
						
43.97056	-124.10528	6.079	376.1	10.47	0.89	2.15
						
43.96917	-124.10583	3.982	375.82	10.42	0.85	2.15
						
43.96861	-124.10583	6.205	376.1	10.42	0.82	0.47
						
43.96694	-124.10694	9.94	375.65	10.32	0.81	0.47
						
43.92722	-124.10667	41.831	371.18	10.11	0.85	2.17
						
43.88306	-124.12333	12.011	365.96	8.51	1.1	2.16
						
43.88278	-124.12333	10.078	366.01	8.51	0.92	0.47
						
43.86361	-124.13722	32.442	363.38	7.28	1.35	2.15
						
43.86167	-124.13972	23.693	363.03	7.07	1.31	2.15
						
43.85222	-124.14528	32.888	362.03	6.56	0.65	2.15
						
43.84778	-124.14611	31.114	361.55	6.47	1.24	0.45
						
43.84694	-124.14583	31.055	361.4	6.49	1.48	2.14
						
43.83833	-124.14889	33.847	360.34	6.19	1.44	2.14
						
43.83528	-124.14889	46.508	360.07	6.17	1.44	2.14
						
43.83389	-124.14861	42.587	359.8	6.18	1.32	2.13
						
43.83083	-124.14694	40.25	359.57	6.3	1.25	0.45
						
43.83083	-124.14694	40.266	359.57	6.3	1.29	2.13
						
43.82694	-124.1475	42.034	359.07	6.23	1.25	2.13
						
43.82139	-124.15	41.698	358.27	5.99	1.15	2.12
						
43.81889	-124.14944	34.746	358.02	6.02	1.55	2.12
						
43.8125	-124.15083	7.166	357.18	5.87	1.25	2.11
						
43.80722	-124.15194	12.807	356.59	5.75	1.36	0.43
						
43.80667	-124.15194	9.841	356.49	5.74	1.3	0.43
						
43.78278	-124.14139	51.943	353.37	6.44	1.3	2.09
						
43.73028	-124.11	14.095	345.5	8.62	0.56	2.03
						
43.72	-124.10028	5.373	343.79	9.33	1.24	0.53
						
43.71889	-124.08333	6.507	342.01	10.69	0.49	1.95
						
